#run	subrun	status
1040	3	bad
1040	4	bad
1040	5	bad
1040	6	bad
1040	7	bad
1040	8	bad
1040	9	bad
1040	10	bad
1040	11	bad
1040	12	bad
1040	13	bad
1040	14	bad
1040	15	bad
1040	16	bad
1040	17	bad
1040	18	bad
1040	19	bad
1040	20	bad
1040	21	bad
1040	22	bad
1040	23	bad
1040	24	bad
1040	25	bad
1040	26	bad
1040	27	bad
1040	28	bad
1040	29	bad
1040	30	bad
1040	31	bad
1040	32	bad
1040	33	bad
1040	34	bad
1040	35	bad
1040	36	bad
1040	37	bad
1040	38	bad
1040	39	bad
1040	40	bad
1040	41	bad
1040	42	bad
1040	43	bad
1040	44	bad
1040	45	bad
1040	46	bad
1040	47	bad
1040	48	bad
1040	49	bad
1041	1	bad
1042	24	good
1042	26	good
1042	27	good
1042	28	good
1042	29	questionable
1042	30	questionable
1042	31	questionable
1043	1	questionable
1043	2	questionable
1043	3	questionable
1043	4	questionable
1043	5	questionable
1043	6	questionable
1043	7	questionable
1043	8	questionable
1043	9	questionable
1043	10	questionable
1043	11	questionable
1043	12	questionable
1043	13	questionable
1043	14	questionable
1043	15	questionable
1043	16	questionable
1043	17	questionable
1043	18	questionable
1043	19	questionable
1043	20	questionable
1043	21	questionable
1043	22	questionable
1043	23	questionable
1043	24	questionable
1043	25	questionable
1043	26	good
1044	1	good
1044	2	good
1044	3	good
1044	4	good
1045	1	good
1045	2	good
1045	3	good
1045	4	good
1045	5	good
1045	6	good
1045	7	good
1045	8	good
1045	9	good
1045	10	good
1045	11	good
1045	12	good
1045	13	good
1045	14	good
1045	15	good
1045	16	good
1045	17	good
1045	18	good
1045	19	good
1045	20	good
1045	21	good
1045	22	good
1045	23	good
1045	24	good
1045	25	good
1045	26	good
1045	27	good
1045	28	good
1046	1	good
1046	2	good
1046	3	good
1046	4	good
1046	5	good
1046	6	good
1046	7	good
1046	8	good
1046	9	good
1046	10	good
1046	11	good
1046	12	good
1046	13	good
1046	14	good
1046	15	good
1046	16	good
1046	17	good
1046	18	good
1046	19	good
1046	20	good
1046	21	good
1046	22	good
1046	23	good
1046	24	good
1046	25	good
1046	26	good
1046	27	good
1046	28	good
1046	29	good
1046	30	good
1046	31	good
1046	32	good
1046	33	good
1046	34	good
1046	35	good
1046	36	good
1046	37	good
1046	38	good
1046	39	good
1046	40	good
1046	41	good
1046	42	good
1046	43	good
1046	44	good
1046	45	good
1046	46	good
1046	47	good
1046	48	good
1046	49	good
1046	50	good
1046	51	good
1046	52	good
1046	53	good
1046	54	good
1046	55	good
1046	56	good
1046	57	good
1046	58	good
1046	59	good
1046	60	good
1046	61	good
1046	62	good
1046	63	good
1046	64	good
1046	65	good
1046	66	good
1046	67	good
1046	68	good
1046	69	good
1046	70	good
1046	71	good
1046	72	good
1046	73	good
1046	74	good
1046	75	good
1046	76	good
1046	77	good
1046	78	good
1046	79	good
1046	80	good
1046	81	good
1046	82	good
1046	83	good
1046	84	good
1046	85	good
1046	86	good
1046	87	good
1046	88	good
1046	89	good
1046	90	good
1046	91	good
1046	92	good
1046	93	good
1046	94	good
1046	95	good
1046	96	good
1046	97	good
1046	98	good
1046	99	good
1046	100	good
1046	101	good
1046	102	good
1046	103	good
1046	104	good
1046	105	good
1046	106	good
1046	107	good
1046	108	good
1046	109	good
1046	110	good
1046	111	good
1046	112	good
1046	113	good
1046	114	good
1046	115	good
1046	116	good
1046	117	good
1046	118	good
1046	119	good
1046	120	good
1046	121	good
1046	122	good
1046	123	good
1046	124	good
1046	125	good
1046	126	good
1046	127	good
1046	128	good
1046	129	good
1046	130	good
1046	131	good
1046	132	good
1046	133	good
1046	134	good
1046	135	good
1046	136	good
1046	137	good
1046	138	good
1046	139	good
1046	140	good
1046	141	good
1046	142	good
1046	143	good
1046	144	good
1046	145	good
1046	146	good
1046	147	good
1046	148	good
1046	149	good
1046	150	good
1046	151	good
1046	152	good
1046	153	good
1046	154	good
1046	155	good
1046	156	good
1046	157	good
1046	158	good
1046	159	good
1046	160	good
1046	161	good
1047	1	good
1047	2	good
1047	3	good
1048	1	good
1048	2	good
1048	3	good
1048	4	good
1048	5	good
1048	6	good
1049	1	good
1049	2	good
1050	1	good
1050	2	good
1050	3	good
1050	4	good
1050	5	good
1050	6	good
1050	7	good
1050	8	good
1050	9	good
1050	10	good
1050	11	good
1050	12	good
1050	13	good
1050	14	good
1050	15	good
1050	16	good
1050	17	good
1050	18	good
1050	19	good
1050	20	good
1050	21	good
1050	22	good
1050	23	good
1050	24	good
1050	25	good
1050	26	good
1050	27	good
1050	28	good
1050	29	good
1050	30	good
1050	31	good
1050	32	good
1050	33	good
1050	34	good
1050	35	good
1050	36	good
1050	37	good
1050	38	good
1050	39	good
1050	40	good
1050	41	good
1050	42	good
1050	43	good
1050	44	good
1050	45	good
1050	46	good
1050	47	good
1050	48	good
1050	49	good
1050	50	good
1050	51	good
1050	52	good
1050	53	good
1050	54	good
1050	55	good
1050	56	good
1050	57	good
1050	58	good
1050	59	good
1050	60	good
1050	61	good
1050	62	good
1050	63	good
1050	64	good
1050	65	good
1050	66	good
1050	67	good
1050	68	good
1050	69	good
1050	70	good
1050	71	good
1050	72	good
1050	73	good
1050	74	good
1050	75	good
1050	76	good
1050	77	good
1050	78	good
1050	79	good
1050	80	good
1050	81	good
1050	82	good
1050	83	good
1050	84	good
1050	85	good
1050	86	good
1050	87	good
1050	88	good
1050	89	good
1050	90	good
1050	91	good
1050	92	good
1050	93	good
1050	94	good
1050	95	good
1050	96	good
1050	97	good
1050	98	good
1050	99	good
1050	100	good
1050	101	good
1050	102	good
1050	103	good
1050	104	good
1050	105	good
1050	106	good
1050	107	good
1050	108	good
1050	109	good
1050	110	good
1050	111	good
1050	112	good
1050	113	good
1050	114	good
1050	115	good
1050	116	good
1050	117	good
1050	118	good
1050	119	good
1050	120	good
1050	121	good
1050	122	good
1050	123	good
1050	124	good
1050	125	good
1050	126	good
1050	127	good
1050	128	good
1050	129	good
1050	130	good
1050	131	good
1050	132	good
1050	133	good
1050	134	good
1050	135	good
1050	136	good
1050	137	good
1050	138	good
