% X,Y,Z(stage),Zmagnet,Field X (T),Field Y (T),Field Z (T),
-0.5905512,0,1.77139997,9.57139997,-0.00040805,0.03575557,-0.00047096,
-0.5905512,0,1.96819997,9.76819997,-0.00035816,0.03100778,-0.00045554,
-0.5905512,0,2.16499996,9.96499996,-0.00030416,0.02703592,-0.00038221,
-0.5905512,0,2.36199999,10.16199999,-0.00023488,0.02360229,-0.00036022,
-0.5905512,0,2.55879998,10.35879998,-0.00029311,0.02059012,-0.0003459,
-0.5905512,0,2.75559998,10.55559998,-0.00018346,0.01819131,-0.00027728,
-0.5905512,0,2.95239997,10.75239997,-0.0001515,0.01600788,-0.00026848,
-0.5905512,0,3.1494,10.9494,-0.00015642,0.01415226,-0.0002643,
-0.5905512,0,3.34619999,11.14619999,-0.00013472,0.01252006,-0.00025755,
-0.5905512,0,3.54320002,11.34320002,-0.00012535,0.01113946,-0.00021526,
-0.5905512,0,3.73979998,11.53979998,-0.00015861,0.00992318,-0.00023763,
-0.5905512,0,3.9368,11.7368,-0.00009,0.00887069,-0.00020919,
-0.5905512,0,4.13360023,11.93360023,-0.00008836,0.0079394,-0.00016108,
-0.5905512,0,4.33039999,12.13039999,-0.000037,0.00712686,-0.00017374,
-0.5905512,0,4.52720022,12.32720022,-0.00001114,0.00647461,-0.0001642,
-0.5905512,0,4.72440004,12.52440004,-0.00003047,0.00579037,-0.00017953,
-0.5905512,0,4.921,12.721,0.00000682,0.00527931,-0.00014958,
-0.5905512,0,5.11780024,12.91780024,-0.00004776,0.00477235,-0.0001279,
-0.5905512,0,5.31459999,13.11459999,-0.00006012,0.00433839,-0.0001785,
-0.5905512,0,5.51160002,13.31160002,-0.00005266,0.00385403,-0.00016001,
-0.5905512,0,5.70839977,13.50839977,-0.00002248,0.00356096,-0.00019655,
-0.5905512,0,5.9053998,13.7053998,-0.00005867,0.0032451,-0.00014337,
-0.5905512,0,6.10200024,13.90200024,-0.00004881,0.00302519,-0.00015242,
-0.5905512,0,6.29920006,14.09920006,-0.00011106,0.00271664,-0.00012787,
-0.5905512,0,6.49580002,14.29580002,-0.00008549,0.00248749,-0.0001117,
-0.5905512,0,6.69259977,14.49259977,-0.00002678,0.00230057,-0.00009346,
-0.5905512,0,6.8895998,14.6895998,-0.00005239,0.00219433,-0.00009929,
-0.5905512,0,7.08640003,14.88640003,0.0000215,0.0019024,-0.00014495,
-0.5905512,0,7.28340006,15.08340006,-0.00005789,0.0018109,-0.00011569,
-0.5905512,0,7.48000002,15.28000002,-0.00004097,0.00169546,-0.00010061,
-0.5905512,0,7.67679977,15.47679977,0.00000461,0.00154712,-0.00013169,
-0.5905512,0,7.8737998,15.6737998,0.00000651,0.00148402,-0.00006093,
-0.5905512,0,8.07059956,15.87059956,0.00001076,0.0013395,-0.00008774,
-0.5905512,0,8.26739979,16.06739979,-0.00001091,0.00121199,-0.00003245,
-0.5905512,0,8.46440029,16.26440029,-0.00002177,0.00115921,-0.00006159,
-0.5905512,0,8.66139984,16.46139984,0.00002917,0.0010976,-0.00010506,
-0.5905512,0,8.8579998,16.6579998,0.00000061,0.00094848,-0.00013035,
-0.5905512,0,9.05480003,16.85480003,0.00001286,0.00096737,-0.00006583,
-0.5905512,0,9.25160027,17.05160027,0.00001739,0.00092809,-0.00005102,
-0.5905512,0,9.44859982,17.24859982,0.0000209,0.00079221,-0.00006541,
-0.5905512,0,9.64540005,17.44540005,-0.0000242,0.00079745,-0.00007313,
-0.5905512,0,9.8423996,17.6423996,0.00001135,0.00069674,-0.00006394,
-0.5905512,0,10.03899956,17.83899956,0.0000418,0.00064011,-0.0001097,
-0.5905512,0,10.23600006,18.03600006,-0.00002919,0.00056143,-0.00008963,
-0.5905512,0,10.43280029,18.23280029,0.00003093,0.0005947,-0.00002828,
-0.5905512,0,10.62959957,18.42959957,-0.00002796,0.00058063,-0.00005605,
-0.5905512,0,10.8263998,18.6263998,0.00003419,0.00058587,-0.00008097,
-0.5905512,0,11.02340031,18.82340031,-0.00001819,0.00053013,-0.00004792,
-0.5905512,0.19685039,0.0002,7.8002,0.0019089,0.14518371,0.02407503,
-0.5905512,0.19685039,0.19660001,7.99660001,0.00154539,0.12318823,0.02000527,
-0.5905512,0.19685039,0.39340001,8.19340001,0.00126885,0.10425618,0.01671298,
-0.5905512,0.19685039,0.59039998,8.39039998,0.00105802,0.08852507,0.01386142,
-0.5905512,0.19685039,0.78719997,8.58719997,0.00083057,0.07535288,0.01137844,
-0.5905512,0.19685039,0.98400003,8.78400003,0.00065092,0.06441855,0.00956657,
-0.5905512,0.19685039,1.18079996,8.98079996,0.00044167,0.05520329,0.00791308,
-0.5905512,0.19685039,1.37759995,9.17759995,0.00034649,0.04747908,0.0065916,
-0.5905512,0.19685039,1.57459998,9.37459998,0.00030265,0.04091786,0.00548486,
-0.5905512,0.19685039,1.77139997,9.57139997,0.00019317,0.03543148,0.00465296,
-0.5905512,0.19685039,1.96819997,9.76819997,0.00021393,0.03076843,0.00390585,
-0.5905512,0.19685039,2.16499996,9.96499996,0.00012578,0.02682155,0.00326299,
-0.5905512,0.19685039,2.36199999,10.16199999,0.00012194,0.0233959,0.00277732,
-0.5905512,0.19685039,2.55879998,10.35879998,0.00008397,0.02050019,0.00233045,
-0.5905512,0.19685039,2.75559998,10.55559998,0.00004997,0.01799851,0.00200653,
-0.5905512,0.19685039,2.95239997,10.75239997,0.0000597,0.0159298,0.00169707,
-0.5905512,0.19685039,3.1494,10.9494,0.0000137,0.01404401,0.00148778,
-0.5905512,0.19685039,3.34619999,11.14619999,-0.00008121,0.0124402,0.00125054,
-0.5905512,0.19685039,3.54320002,11.34320002,0.00000319,0.01110956,0.00102117,
-0.5905512,0.19685039,3.73979998,11.53979998,0.00003087,0.00988217,0.00088964,
