% Model:              Data taken by AP-STD
% Version:            2 mm spaced file for 2nd magnet
% Date:               Oct 26 2023           12:19
% Dimension:          3
% Nodes:              2700
% Expressions:        3
% Description:        Magnetic flux density, x component, Magnetic flux density, y component, Magnetic flux density, z component
% Length unit:        mm
% X                       Y                        Z                        mfnc.Bz (T)              mfnc.By (T)              mfnc.Bx (T)
-9.00017629          -10.99803476          160.0580824          0.153902545          -0.727704091          0.010326091
-9.000036026          -10.99835457          165.0579671          0.163573545          -0.654242091          0.010776091
-9.000091438          -10.99818548          170.0580908          0.166751545          -0.576175091          0.012086091
-8.999889711          -10.99841109          175.0582901          0.161985545          -0.498432091          0.013580091
-9.000092342          -10.99827396          180.058786          0.150293545          -0.424982091          0.014461091
-7.000236766          -10.99840622          180.0582936          0.149966545          -0.425978091          0.012991091
-7.000034135          -10.99804335          175.0577976          0.161004545          -0.499018091          0.012500091
-7.000235862          -10.99831774          170.0580984          0.165995545          -0.576250091          0.011648091
-7.00018045          -10.99798684          165.0579747          0.162941545          -0.653607091          0.010921091
-6.999820714          -10.99816702          160.0575899          0.153462545          -0.726497091          0.010869091
-6.999934341          -10.9982018          155.0583184          0.139691545          -0.792210091          0.011761091
-6.999856881          -10.99840295          150.0580351          0.125179545          -0.849361091          0.013700091
-6.999788493          -10.99840877          145.0578917          0.111946545          -0.898403091          0.016475091
-7.000119705          -10.99807826          140.057927          0.102292545          -0.940954091          0.020087091
-7.000131953          -10.99808215          135.0582131          0.097175545          -0.980203091          0.024458091
-7.000198177          -10.99837948          130.0575213          0.095991545          -1.018885091          0.029650091
-6.999896484          -10.99826369          125.0580782          0.096890545          -1.059813091          0.035313091
-6.999919617          -10.99812076          120.058181          0.094685545          -1.103937091          0.041255091
-6.999844976          -10.99818354          115.0581384          0.086030545          -1.146267091          0.047485091
-6.999980071          -10.9980346          110.0579641          0.071809545          -1.181098091          0.053802091
-5.000167135          -10.99807238          110.0583292          0.073942545          -1.185060091          0.044142091
-5.00003204          -10.99822132          115.0580035          0.088091545          -1.149782091          0.039450091
-5.000106681          -10.99815854          120.0580462          0.096680545          -1.106858091          0.034887091
-5.000083548          -10.99830146          125.0579433          0.098692545          -1.062314091          0.030456091
-4.999885241          -10.99841726          130.0578865          0.097814545          -1.020563091          0.026205091
-4.999819017          -10.99811992          135.0580782          0.098564545          -0.981314091          0.022320091
-4.999806769          -10.99811604          140.0582922          0.103476545          -0.941536091          0.018995091
-4.999975557          -10.99844655          145.0582569          0.112950545          -0.898363091          0.016171091
-5.000043945          -10.99844072          150.0579003          0.125554545          -0.848896091          0.013949091
-5.000121405          -10.99823958          155.0581836          0.140009545          -0.791569091          0.012316091
-5.000007778          -10.9982048          160.0579551          0.153194545          -0.726126091          0.011373091
-4.999867514          -10.99802462          165.0583399          0.162442545          -0.653253091          0.011082091
-4.999922926          -10.99835552          170.0579636          0.165210545          -0.576233091          0.011259091
-5.000221199          -10.99808113          175.0581628          0.160554545          -0.499504091          0.011531091
-4.99992383          -10.998444          180.0581588          0.149584545          -0.426774091          0.011525091
-2.99993635          -10.99843107          180.0579479          0.149219545          -0.427340091          0.010143091
-3.000233719          -10.9980682          175.057952          0.159925545          -0.499695091          0.010587091
-2.999935446          -10.99834259          170.0582527          0.164801545          -0.576253091          0.010839091
-2.999880034          -10.99801169          165.057629          0.162024545          -0.652922091          0.011211091
-3.000020298          -10.99819187          160.0582443          0.153223545          -0.725625091          0.011874091
-3.000133925          -10.99822664          155.0579727          0.140054545          -0.791048091          0.012864091
-3.000056465          -10.99842779          150.0571894          0.125895545          -0.848427091          0.014239091
-2.999988077          -10.99843361          145.0580461          0.113464545          -0.898191091          0.015892091
-2.999819289          -10.99810311          140.0580814          0.104378545          -0.941683091          0.017981091
